"","X.x","clone.x","median","pvaltest","logi_test","referencia","PC","PCdir","comparison","Name","X.y","Merged","Nickname","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","clone.y"
"1",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-15","606Fast15","Rhaegal.15.1",606,"Fast","15","Specialist",-1.97478961753702,-0.942062936921753,-0.0292686436101526,-0.245285904067919,0.125540868650099,"F606-1"
"2",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-15-1","606Fast15","Rhaegal.15.2",606,"Fast","15","Specialist",-1.96807455146562,-0.489609739704594,0.35805775618171,-0.319973138634103,0.188579174994381,"F606-1"
"3",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-15-2","606Fast15","Rhaegal.15.3",606,"Fast","15","Specialist",-1.88866597864669,-0.702492778623251,0.253915013010838,-0.215933689483762,0.258714506213193,"F606-1"
"4",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-37","606Fast37","Rhaegal.37.1",606,"Fast","37","Specialist",-0.00231298390138144,0.664613834083183,-0.459953052994214,-0.114163512420526,-0.0187516745665321,"F606-1"
"5",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-37-1","606Fast37","Rhaegal.37.2",606,"Fast","37","Specialist",-0.158792960816031,0.322539221778722,-0.837839531082269,-0.199460577712944,-0.0704757571140977,"F606-1"
"6",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-37-2","606Fast37","Rhaegal.37.3",606,"Fast","37","Specialist",-0.0558783719772193,0.571756049863709,-0.614477194240347,-0.126107841596486,-0.096716306355268,"F606-1"
"7",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-43","606Fast43","Rhaegal.43.1",606,"Fast","43","Specialist",1.31307422717377,-0.0852513977294354,0.373168952495607,-0.375979874370477,-0.155003567010955,"F606-1"
"8",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-43-1","606Fast43","Rhaegal.43.2",606,"Fast","43","Specialist",1.29130907149449,-0.0298966213739072,0.822053911019357,-0.920249123906278,-0.196705179920668,"F606-1"
"9",3,"F606-1",-1.96807455146562,0.366276702002866,"equal",15,"Dim.1","less","Unrestored","F606-1","F606-1-43-2","606Fast43","Rhaegal.43.3",606,"Fast","43","Specialist",1.27451915993796,0.203849050614361,1.08436567431889,-0.408418853773088,-0.0719555032715767,"F606-1"
"10",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-15","606Fast15","Dayne.15.1",606,"Fast","15","Generalist",-1.74001013644022,-0.26578716461558,0.230887740167398,-0.295458563957456,0.0946498952009796,"F606-2"
"11",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-15-1","606Fast15","Dayne.15.2",606,"Fast","15","Generalist",-1.77757808991991,0.052407685997979,0.681392340913455,-0.317620799428671,0.0110103597719084,"F606-2"
"12",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-15-2","606Fast15","Dayne.15.3",606,"Fast","15","Generalist",-1.72758966617273,-0.788181203892891,-0.264726385426102,-0.1778446035264,-0.129139561281107,"F606-2"
"13",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-37","606Fast37","Dayne.37.1",606,"Fast","37","Generalist",0.155924957212248,0.788057416642834,-0.531388980038871,0.218490490157939,0.0824013959473512,"F606-2"
"14",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-37-1","606Fast37","Dayne.37.2",606,"Fast","37","Generalist",0.048947781403874,0.898907257018636,-0.530133270264028,0.166838277660485,0.105114085751944,"F606-2"
"15",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-37-2","606Fast37","Dayne.37.3",606,"Fast","37","Generalist",-0.181592795007144,1.04438903992821,-0.674225331824859,-0.0594217001059627,0.4450215619295,"F606-2"
"16",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-43","606Fast43","Dayne.43.1",606,"Fast","43","Generalist",1.39913609783495,0.978396046084953,1.42401932367294,0.411279453922147,0.102306882495478,"F606-2"
"17",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-43-1","606Fast43","Dayne.43.2",606,"Fast","43","Generalist",1.54133437781603,0.542347976901979,1.22015572639133,0.336657637056127,-0.103534191773242,"F606-2"
"18",4,"F606-2",-1.74001013644022,0.0909949566139135,"equal",15,"Dim.1","less","Unrestored","F606-2","F606-2-43-2","606Fast43","Dayne.43.3",606,"Fast","43","Generalist",1.42529769030235,0.946589552665937,1.39026942925532,0.241363580023681,0.026030160077616,"F606-2"
"19",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-15","606Fast15","Nymeria.15.1",606,"Fast","15","Specialist",-1.80732446047762,-0.511101323754593,-0.00627635588750519,-0.139227346916296,0.0395090224062013,"F606-3"
