"","clone","median","pval","logi_test","referencia","PC"
"1","606P",-1.92246389377103,1,"two.sided",15,"Dim.1"
"2","607P",-1.56449196602843,1,"two.sided",15,"Dim.1"
"3","F606-1",-1.96807455146562,0.285273200598386,"less",15,"Dim.1"
"4","F606-2",-1.74001013644022,0.0472473813187628,"greater",15,"Dim.1"
"5","F606-3",-1.80732446047762,0.116330586451651,"greater",15,"Dim.1"
"6","F606-4",-1.82684516165184,0.202372459947922,"greater",15,"Dim.1"
"7","F607-1",-1.42140236102669,0.108285550425674,"greater",15,"Dim.1"
"8","F607-2",-1.36588237417173,0.00266865038494514,"greater",15,"Dim.1"
"9","F607-3",-1.14263640254616,0.00172923725022253,"greater",15,"Dim.1"
"10","F607-4",-1.29322963141834,0.0759987840262161,"greater",15,"Dim.1"
"11","R606-1",-1.76596300900642,0.137048116578989,"greater",15,"Dim.1"
"12","R606-2",-0.974217693521529,0.000505543294653711,"greater",15,"Dim.1"
"13","R606-3",-0.918102577827951,0.00132082447130676,"greater",15,"Dim.1"
"14","R606-4",-1.79439204268858,0.444085983642952,"greater",15,"Dim.1"
"15","R607-1",-1.26831615624116,0.00270698609985714,"greater",15,"Dim.1"
"16","R607-2",-1.50495567083131,0.172407235820005,"greater",15,"Dim.1"
"17","R607-3",-1.17103867501613,0.0454743653813131,"greater",15,"Dim.1"
"18","R607-4",-1.38204998881151,0.027639574024476,"greater",15,"Dim.1"
"19","S606-1",-1.18574169290506,0.00883034664178898,"greater",15,"Dim.1"
"20","S606-2",-1.87958425546553,0.475752822307971,"greater",15,"Dim.1"
"21","S606-3",-1.54170308883501,0.0810651123720663,"greater",15,"Dim.1"
"22","S606-4",-1.23839977803243,0.000114058975095593,"greater",15,"Dim.1"
"23","S607-1",-1.04249930748979,1.42311833595956e-05,"greater",15,"Dim.1"
"24","S607-2",-0.544688132851123,0.0342680547475668,"greater",15,"Dim.1"
"25","S607-3",-1.54716316446217,0.665261982731444,"greater",15,"Dim.1"
"26","S607-4",-1.25453317964833,0.000133075272841181,"greater",15,"Dim.1"
"27","606P",-1.2737533561409,1,"two.sided",15,"Dim.2"
"28","607P",-0.291486618105247,1,"two.sided",15,"Dim.2"
"29","F606-1",-0.702492778623251,0.0155048944230212,"greater",15,"Dim.2"
"30","F606-2",-0.26578716461558,0.0193326136729408,"greater",15,"Dim.2"
"31","F606-3",-0.358654612494278,0.00164187027738005,"greater",15,"Dim.2"
"32","F606-4",-0.408584576800559,0.010032854054162,"greater",15,"Dim.2"
"33","F607-1",0.0747800515726204,0.000615328853195133,"greater",15,"Dim.2"
"34","F607-2",-0.639110346103447,0.000420637759606676,"less",15,"Dim.2"
"35","F607-3",-0.00607941269761014,0.0110867912390616,"greater",15,"Dim.2"
"36","F607-4",-0.348147515661489,0.319466924245094,"less",15,"Dim.2"
"37","R606-1",-0.385312131299929,0.00343470029125676,"greater",15,"Dim.2"
"38","R606-2",0.0707586196726064,6.60065804578359e-05,"greater",15,"Dim.2"
