"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"607P-15","Ancestor15","X607P.15.1","607P",607,"Ancestor",15,"Other",-1.55754575821851,-0.564009664162265,0.256258611450326,0.00269544723246246,0.0954172891653365
"607P-15-1","Ancestor15","X607P.15.2","607P",607,"Ancestor",15,"Other",-1.46534940947979,-0.569958038403788,0.269470313595703,0.0584573238458173,0.129570584125545
"607P-15-2","Ancestor15","X607P.15.3","607P",607,"Ancestor",15,"Other",-1.60187872326602,-0.483174780748054,0.264983962660365,0.00602998628110715,0.19010480457753
"607P-15-3","Ancestor15","X607P2.15.1","607P",607,"Ancestor",15,"Other",-1.53921491452828,-0.725388163223927,0.166189213318446,0.00174071200429915,0.0608858991879231
"607P-15-4","Ancestor15","X607P2.15.2","607P",607,"Ancestor",15,"Other",-1.41530410209471,-0.755581047000632,0.0790956503441245,0.0670858078556589,0.129167919184207
"607P-15-5","Ancestor15","X607P2.15.3","607P",607,"Ancestor",15,"Other",-1.2975108416073,-0.684232900324863,0.00877582389505603,0.0468909927729052,0.166486905870407
"607P-37","Ancestor37","X607P2.37.1","607P",607,"Ancestor",37,"Other",0.556633921357579,0.924479811804213,-0.287415925559054,0.588312327913143,0.234651585525408
"607P-37-1","Ancestor37","X607P2.37.2","607P",607,"Ancestor",37,"Other",0.374243743329409,0.954192952004594,-0.266856227275402,0.360605412453686,0.357853971107891
"607P-37-2","Ancestor37","X607P2.37.3","607P",607,"Ancestor",37,"Other",0.302777137306019,0.965126425666976,-0.0409117564205875,0.304791245439137,0.160737728793376
"607P-37-3","Ancestor37","X607P3.37.1","607P",607,"Ancestor",37,"Other",-0.0404681775144681,1.26763008772527,0.109289376874899,0.318290892583125,0.419638039844576
"607P-37-4","Ancestor37","X607P3.37.2","607P",607,"Ancestor",37,"Other",-0.0982489331363845,1.25439515759762,0.15521400801157,0.264694062007554,0.430416731381558
"607P-37-5","Ancestor37","X607P3.37.3","607P",607,"Ancestor",37,"Other",-0.183869750939466,1.38281366845775,0.253675868043496,0.307390198384137,0.322446950074928
"607P-43","Ancestor43","X607P3.43.1","607P",607,"Ancestor",43,"Other",2.77792789499944,-1.49482454990165,-0.580241460402607,0.895685415946729,0.122191881443089
"607P-43-1","Ancestor43","X607P3.43.2","607P",607,"Ancestor",43,"Other",2.21503743779869,-0.959321256514656,0.146854010615469,1.25623812583472,0.448553658354129
"607P-43-2","Ancestor43","X607P3.43.3","607P",607,"Ancestor",43,"Other",1.10676840556934,-0.24995620630427,0.612752895392025,0.360647069747052,0.0840990414322771
