"","Strain","Treatment","at15dgr","at43dgr","Lineage","Strategy"
"148","F606-1","Fast",0.976123420312001,1.23765018187925,"606","Other"
"199","F606-2","Fast",1.18933482929092,1.44377688696956,"606","Generalist"
"145","F606-3","Fast",1.03083948576819,1.35515751529156,"606","Specialist43"
"205","F606-4","Fast",1.40041559887627,1.17546437638007,"606","Specialist15"
"136","F607-1","Fast",1.26064957552265,1.34432743415158,"607","Generalist"
"130","F607-2","Fast",1.20947243654725,1.44607224884351,"607","Generalist"
"133","F607-3","Fast",1.27447025682236,1.12171652367199,"607","Specialist15"
"181","F607-4","Fast",1.07069588602949,1.09149231517059,"607","Other"
"142","R606-1","Random",0.93726270572001,1.09493711634199,"606","Other"
"115","R606-2","Random",1.09211639334283,1.20329102887764,"606","Other"
"212","R606-3","Random",0.976920298853802,1.11721620717805,"606","Other"
"121","R606-4","Random",1.01937045733341,1.18992756933509,"606","Other"
"127","R607-1","Random",1.09899977765055,1.75628694786967,"607","Specialist43"
"166","R607-2","Random",0.942846324444204,1.09039174945733,"607","Other"
"169","R607-3","Random",1.09673500297506,1.19696878722691,"607","Other"
"100","R607-4","Random",0.989072990826098,1.33374720729592,"607","Specialist43"
"112","S606-1","Slow",1.52090911571537,1.35276230685914,"606","Generalist"
"175","S606-2","Slow",0.662154764866882,1.32493549241626,"606","Specialist43"
"109","S606-3","Slow",1.18363772225709,1.20819827480346,"606","Specialist15"
"106","S606-4","Slow",1.12144246975876,1.18130817122824,"606","Other"
"97","S607-1","Slow",1.77043869150262,1.33429868047429,"607","Generalist"
"160","S607-2","Slow",0.624166715851501,1.63876996247399,"607","Specialist43"
"157","S607-3","Slow",1.32845313429693,1.66444535332027,"607","Generalist"
"154","S607-4","Slow",1.23531992209122,1.56646593652774,"607","Generalist"
