"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"606P-15","606Ancestor15","X606P.15.1","606P",606,"Ancestor",15,"Other",-1.75825505962198,-1.25412232197796,-0.0990824440050871,-0.0496890200126508,0.916160199534029
"606P-15-1","606Ancestor15","X606P.15.2","606P",606,"Ancestor",15,"Other",-1.65127125934961,-0.945619372501553,-0.0191706740868144,0.0116949475246926,0.81510032719018
"606P-15-2","606Ancestor15","X606P.15.3","606P",606,"Ancestor",15,"Other",-1.89658947554588,-1.71989479135066,-0.196630875936881,-0.309015613239059,1.26079672062068
"606P-15-3","606Ancestor15","X606P2.15.1","606P",606,"Ancestor",15,"Other",-1.94833831199619,-1.55590297397329,-0.363595667148221,-0.086145590482971,0.697283651508431
"606P-15-4","606Ancestor15","X606P2.15.2","606P",606,"Ancestor",15,"Other",-2.15816174634548,-1.29338439030383,-0.117642215459215,-0.219289522539143,0.678519846534562
"606P-15-5","606Ancestor15","X606P2.15.3","606P",606,"Ancestor",15,"Other",-1.97289743937555,-0.765197497439034,0.239432843680602,-0.144665131421914,0.675297203605723
"606P-43","606Ancestor43","X606P2.43.1","606P",606,"Ancestor",43,"Other",1.25199327487994,-0.549516452126304,0.766208134459214,0.0924328873972438,0.0784165933322279
"606P-43-1","606Ancestor43","X606P2.43.2","606P",606,"Ancestor",43,"Other",1.22987074538579,-0.404377679043595,0.68775052473006,-0.00403205655167188,-0.104596966388359
"606P-43-2","606Ancestor43","X606P2.43.3","606P",606,"Ancestor",43,"Other",1.48369837493284,-0.838745530214894,0.519171482292008,0.107818227964932,-0.121168930335865
"606P-37","606Ancestor37","X606P3.37.1","606P",606,"Ancestor",37,"Other",-0.277481297843641,0.511034870870276,-0.515441842864682,-0.204623083701876,-0.0527483528568167
"606P-37-1","606Ancestor37","X606P3.37.2","606P",606,"Ancestor",37,"Other",-0.181128780294592,0.472061971629897,-0.614629153355591,0.0993849335355416,-0.0883308352403591
"606P-37-2","606Ancestor37","X606P3.37.3","606P",606,"Ancestor",37,"Other",-0.0493418603758749,0.678969385424051,-0.532249170984013,0.178825255325534,-0.0476984541001404
"606P-43-3","606Ancestor43","X606P3.43.1","606P",606,"Ancestor",43,"Other",1.10404820196253,0.309075705310869,1.09067490013392,-0.25962009789499,-0.136935639355439
"606P-43-4","606Ancestor43","X606P3.43.2","606P",606,"Ancestor",43,"Other",1.3812466031844,-0.126468436938889,0.803277364638446,0.0292183348027749,-0.117146188041556
"606P-43-5","606Ancestor43","X606P3.43.3","606P",606,"Ancestor",43,"Other",1.96648691629542,-0.859754643019397,0.135359573160725,-0.547497896199282,-0.374182549961994
"606P-37-3","606Ancestor37","X606P.37.1","606P",606,"Ancestor",37,"Other",0.419000979173351,0.459259022877144,-0.617607519162299,0.0309233640052405,0.10514529573579
"606P-37-4","606Ancestor37","X606P.37.2","606P",606,"Ancestor",37,"Other",0.288773742060329,0.691677031858729,-0.468572202639568,0.18261891199177,0.210772324264276
"606P-37-5","606Ancestor37","X606P.37.3","606P",606,"Ancestor",37,"Other",0.44892605801186,0.556802910972288,-0.395900543585586,0.0308212843427652,0.109487162139989
"S606-2-15","606Slow15","Baelish.15.1","S606-2",606,"Slow",15,"Specialist",-1.85984758892963,-0.166320768000362,0.665212629020829,-0.255130880080374,0.281551119386123
"S606-2-15-1","606Slow15","Baelish.15.2","S606-2",606,"Slow",15,"Specialist",-1.93887124660213,-0.755271538599024,0.260186034478041,-0.394414146489453,0.240698333616424
"S606-2-15-2","606Slow15","Baelish.15.3","S606-2",606,"Slow",15,"Specialist",-1.87958425546553,-0.375844950857345,0.611671988428183,-0.419414097922147,0.228985230161589
"S606-2-37","606Slow37","Baelish.37.1","S606-2",606,"Slow",37,"Specialist",-0.250685935700572,0.139748854037362,-0.819989864126396,-0.226297810779636,-0.0812482087532324
"S606-2-37-1","606Slow37","Baelish.37.2","S606-2",606,"Slow",37,"Specialist",-0.219653972566986,-0.0591512595833998,-1.03985922406514,-0.354968763011975,-0.156151962928729
"S606-2-37-2","606Slow37","Baelish.37.3","S606-2",606,"Slow",37,"Specialist",-0.259997274231002,0.0454553504698425,-0.876675542964892,-0.279394016098574,-0.137913582675032
"S606-2-43","606Slow43","Baelish.43.1","S606-2",606,"Slow",43,"Specialist",1.4040529168682,0.154443232941171,0.594496161599135,0.0308280247376831,-0.0804833260015568
"S606-2-43-1","606Slow43","Baelish.43.2","S606-2",606,"Slow",43,"Specialist",1.7900324747231,-0.523460123706513,0.0290020942136146,0.200538823845178,-0.178310280400705
"S606-2-43-2","606Slow43","Baelish.43.3","S606-2",606,"Slow",43,"Specialist",1.68828663129941,-0.854912499368308,-0.111010804790597,-0.656492099588537,-0.253507826523277
"F606-2-15","606Fast15","Dayne.15.1","F606-2",606,"Fast",15,"Generalist",-1.74001013644022,-0.26578716461558,0.230887740167398,-0.295458563957456,0.0946498952009796
"F606-2-15-1","606Fast15","Dayne.15.2","F606-2",606,"Fast",15,"Generalist",-1.77757808991991,0.052407685997979,0.681392340913455,-0.317620799428671,0.0110103597719084
"F606-2-15-2","606Fast15","Dayne.15.3","F606-2",606,"Fast",15,"Generalist",-1.72758966617273,-0.788181203892891,-0.264726385426102,-0.1778446035264,-0.129139561281107
"F606-2-37","606Fast37","Dayne.37.1","F606-2",606,"Fast",37,"Generalist",0.155924957212248,0.788057416642834,-0.531388980038871,0.218490490157939,0.0824013959473512
"F606-2-37-1","606Fast37","Dayne.37.2","F606-2",606,"Fast",37,"Generalist",0.048947781403874,0.898907257018636,-0.530133270264028,0.166838277660485,0.105114085751944
"F606-2-37-2","606Fast37","Dayne.37.3","F606-2",606,"Fast",37,"Generalist",-0.181592795007144,1.04438903992821,-0.674225331824859,-0.0594217001059627,0.4450215619295
"F606-2-43","606Fast43","Dayne.43.1","F606-2",606,"Fast",43,"Generalist",1.39913609783495,0.978396046084953,1.42401932367294,0.411279453922147,0.102306882495478
"F606-2-43-1","606Fast43","Dayne.43.2","F606-2",606,"Fast",43,"Generalist",1.54133437781603,0.542347976901979,1.22015572639133,0.336657637056127,-0.103534191773242
"F606-2-43-2","606Fast43","Dayne.43.3","F606-2",606,"Fast",43,"Generalist",1.42529769030235,0.946589552665937,1.39026942925532,0.241363580023681,0.026030160077616
"R606-4-15","606Random15","Egg.15.1","R606-4",606,"Random",15,"Specialist",-1.64498466052553,0.187607602903704,0.565149485523604,-0.127699760550119,0.119925692464046
"R606-4-15-1","606Random15","Egg.15.2","R606-4",606,"Random",15,"Specialist",-1.79439204268858,-0.177095644526399,0.368388343403161,-0.144101646942203,0.150622196134824
"R606-4-15-2","606Random15","Egg.15.3","R606-4",606,"Random",15,"Specialist",-2.17369038811006,-0.543830723106029,0.308412881191713,-0.326525455576779,0.168093159024766
"R606-4-37","606Random37","Egg.37.1","R606-4",606,"Random",37,"Specialist",0.293322836824448,0.339923024459497,-0.817163925756602,0.261326890980619,0.160247158982237
"R606-4-37-1","606Random37","Egg.37.2","R606-4",606,"Random",37,"Specialist",0.255002731049198,0.53096441328715,-0.650566551515601,0.151001467485948,0.153174468282746
"R606-4-37-2","606Random37","Egg.37.3","R606-4",606,"Random",37,"Specialist",0.581661149149961,0.209461411005796,-0.916397111186237,0.330641109337528,0.0766208074137901
"R606-4-43","606Random43","Egg.43.1","R606-4",606,"Random",43,"Specialist",1.72391162941716,0.922627459454637,0.812859942221255,0.212859006157044,0.704976312112757
