Strain,Type,Max_deriv,,,,
S606-2,Acclimation,0.00027741,,,,
S606-2,Acclimation,0.000278906,,,,
S606-2,Acclimation,0.000276335,,,,
F606-2,Acclimation,0.000400813,,,,
F606-2,Acclimation,0.000315524,,,,
F606-2,Acclimation,0.000308572,,,,
S607-2,Acclimation,0.00015805,,,,
S607-2,Acclimation,0.000144674,,,,
S607-2,Acclimation,0.000182195,,,,
S607-2,Acclimation,0.000158422,,,,
S607-1,Acclimation,0.000301695,,,,
S607-1,Acclimation,0.000314283,,,,
S607-1,Acclimation,0.000382239,,,,
606P,Acclimation,0.000231755,,,,
606P,Acclimation,0.000275861,,,,
606P,Acclimation,0.000233921,,,,
607P,Acclimation,0.000212895,,,,
607P,Acclimation,0.000184562,,,,
607P,Acclimation,0.000169266,,,,
S606-2,Condition,0.000137144,,,,
S606-2,Condition,6.69E-05,,,,
S606-2,Condition,6.26E-05,,,,
F606-2,Condition,0.000312034,,,,
F606-2,Condition,0.000281635,,,,
F606-2,Condition,0.000288287,,,,
S607-2,Condition,4.82E-05,,,,
S607-2,Condition,4.91E-05,,,,
S607-2,Condition,5.32E-05,,,,
S607-2,Condition,0.000039379,,,,
S607-1,Condition,0.000298657,,,,
S607-1,Condition,0.000335012,,,,
S607-1,Condition,0.00022676,,,,
606P,Condition,0.00021409,,,,
606P,Condition,0.000291383,,,,
606P,Condition,0.000236081,,,,
607P,Condition,0.000170888,,,,
607P,Condition,0.000200434,,,,
607P,Condition,0.00014743,,,,
