Treatment,Linage,Strain,Type,Experiment ,Temperature,Max_deriv,Lag,k
Media,607,607P,Reference,4_5_17,43,0.001361278,374.8868721,0.390209754
Media,607,607P,Reference,4_5_17,43,0.001462898,383.5977848,0.291290602
Media,607,607P,Reference,4_5_17,43,0.001672362,373.3310093,0.35178478
Random,607,R607-4,Clone,4_5_17,43,0.001704033,497.1237817,0.530302744
Random,607,R607-4,Clone,4_5_17,43,0.002114594,469.5610976,0.291042598
Random,607,R607-4,Clone,4_5_17,43,0.002178618,482.3062686,0.345423314
Random,607,R607-1,Clone,4_5_17,43,0.002648823,283.97605,0.63181864
Random,607,R607-1,Clone,4_5_17,43,0.002726371,355.260315,0.610175399
Random,607,R607-1,Clone,4_5_17,43,0.002522017,301.4538688,0.632819741
Media,607,607P,Reference,30_5_17,43,0.001123008,365.054449,0.310582534
Media,607,607P,Reference,30_5_17,43,0.000974443,492.4032564,0.270661217
Media,607,607P,Reference,30_5_17,43,0.001318246,327.7437365,0.391992435
Slow,607,S607-4,Clone,30_5_17,43,0.001804252,377.0102629,0.45150424
Slow,607,S607-4,Clone,30_5_17,43,0.001716626,430.7101064,0.432991214
Slow,607,S607-4,Clone,30_5_17,43,0.001829695,385.4158626,0.500752174
Slow,607,S607-3,Clone,30_5_17,43,0.001819128,399.690776,0.506939395
Slow,607,S607-3,Clone,30_5_17,43,0.001835766,325.4299574,0.575631625
Slow,607,S607-3,Clone,30_5_17,43,0.002030347,328.8004831,0.536530382
Slow,607,S607-1,Clone,30_5_17,43,0.001604947,140.294724,0.45586358
Slow,607,S607-1,Clone,30_5_17,43,0.0015159,119.4201317,0.443685018
Slow,607,S607-1,Clone,30_5_17,43,0.001436713,164.7382668,0.435002659
Media,607,607P,Reference,13_8_17,43,0.00137032,766.3853745,0.459984555
Media,607,607P,Reference,13_8_17,43,0.001482608,747.5315238,0.506567436
Media,607,607P,Reference,13_8_17,43,0.001470637,653.9400078,0.4806678
Media,607,607P,Reference,13_8_17,43,0.001303669,759.2647482,0.449922903
Fast,607,F607-4,Clone,13_8_17,43,0.001505238,521.7583848,0.535516057
Fast,607,F607-4,Clone,13_8_17,43,0.001561401,544.8511538,0.544038533
Fast,607,F607-4,Clone,13_8_17,43,0.001539923,498.4600224,0.573946917
Media,607,607P,Reference,1_3_18,43,0.00174509,490.1198118,0.531571929
Media,607,607P,Reference,1_3_18,43,0.001848469,465.0240686,0.559913978
