Nickname,Name,Strain,Treatment,Condition,Well2,Well3,Well4,Well5,Well6,Well7,Well8,Well9,Well10,Well11,Well12,Well13,Well14,Well15,Well16,Well17,Well18,Well19,Well20,Well21,Well22,Well23,Well24,Well25,Well26,Well27,Well28,Well29,Well30,Well31,Well32,Well33,Well34,Well35,Well36,Well37,Well38,Well39,Well40,Well41,Well42,Well43,Well44,Well45,Well46,Well47,Well48,Well49,Well50,Well51,Well52,Well53,Well54,Well55,Well56,Well57,Well58,Well59,Well60,Well61,Well62,Well63,Well64,Well65,Well66,Well67,Well68,Well69,Well70,Well71,Well72,Well74,Well75,Well76,Well77,Well78,Well79,Well80,Well81,Well82,Well83,Well84,Well85,Well87,Well88,Well89,Well90,Well91,Well92,Well93,Well95,Well96
X607P.15.1,607P,607,Ancestor,15,-0.143690476,0.046384921,0.082833333,0.00022619,-0.027376984,-0.119813492,-0.035003968,-0.15315873,0.126678571,0.072964286,0.153075397,-0.217900794,-0.12190873,-0.235543651,-0.036734127,0.141075397,0.041015873,-0.042547619,-0.002825397,-0.251638889,-0.114027778,-0.151174603,-0.185496032,0.099936508,-0.292702381,0.079313492,-0.004325397,-0.058440476,-0.2555,-0.195123016,-0.063654762,-0.030797619,-0.019789683,-0.023337302,-0.191753968,-0.359916667,-0.081861111,-0.01847619,-0.099162698,-0.027055556,-0.089845238,-0.034373016,-0.113238095,-0.418984127,-0.344380952,-0.220269841,-0.203992063,-0.006730159,-0.367003968,0.00802381,-0.088444444,-0.03202381,-0.234444444,-0.132797619,-0.183789683,-0.057190476,-0.091337302,-0.194178571,-0.002055556,-0.036984127,0.006603175,-0.396420635,-0.315539683,-0.004107143,-0.130269841,-0.224746032,-0.155940476,-0.148083333,-0.418436508,-0.112555556,0.005329365,-0.137615079,0.211134921,0.33472619,-0.050365079,0.57868254,0.072174603,-0.146706349,0.116710317,0.072912698,0.355686508,0.01772619,0.29834127,0.31618254,0.579888889,0.190420635,0.110797619,0.202186508,0.007920635,0.005107143,0.060198413,-0.237154762
X607P.15.2,607P,607,Ancestor,15,-0.149690476,0.038384921,0.070833333,-0.01777381,-0.037376984,-0.084813492,-0.044003968,-0.16115873,0.124678571,0.068964286,0.168075397,-0.185900794,-0.11190873,-0.224543651,-0.028734127,0.140075397,0.074015873,0.007452381,-0.010825397,-0.264638889,-0.141027778,-0.140174603,-0.169496032,0.110936508,-0.303702381,0.021313492,-0.011325397,-0.046440476,-0.1935,-0.191123016,-0.082654762,-0.039797619,-0.028789683,-0.034337302,-0.140753968,-0.329916667,-0.075861111,-0.02047619,-0.150162698,-0.038055556,-0.053845238,-0.039373016,-0.091238095,-0.348984127,-0.336380952,-0.229269841,-0.161992063,-0.019730159,-0.405003968,0.00502381,-0.086444444,-0.04002381,-0.180444444,-0.133797619,-0.227789683,-0.066190476,-0.052337302,-0.122178571,0.028944444,-0.038984127,0.004603175,-0.404420635,-0.316539683,-0.010107143,-0.101269841,-0.163746032,-0.146940476,-0.085083333,-0.429436508,-0.120555556,-0.004670635,0.087884921,0.270634921,0.28422619,-0.083865079,0.34618254,0.057674603,-0.107206349,0.076210317,0.269412698,0.359186508,0.02622619,0.08284127,0.21568254,0.560388889,0.177920635,0.090297619,0.156686508,-0.001579365,-0.080392857,0.039698413,-0.211654762
X607P.15.3,607P,607,Ancestor,15,-0.157690476,0.022384921,0.038833333,-0.03577381,-0.039376984,-0.077813492,-0.054003968,-0.17515873,0.106678571,0.014964286,0.155075397,-0.169900794,-0.10390873,-0.179543651,-0.049734127,0.112075397,0.069015873,0.010452381,-0.027825397,-0.234638889,-0.156027778,-0.192174603,-0.277496032,0.036936508,-0.314702381,-0.010686508,-0.022325397,-0.079440476,-0.2035,-0.154123016,-0.090654762,-0.043797619,-0.044789683,-0.045337302,-0.087753968,-0.377916667,-0.130861111,-0.03847619,-0.104162698,-0.058055556,-0.055845238,-0.057373016,-0.064238095,-0.338984127,-0.353380952,-0.246269841,-0.206992063,-0.033730159,-0.397003968,-0.01697619,-0.190444444,-0.05502381,-0.182444444,-0.143797619,-0.196789683,-0.079190476,-0.066337302,-0.159178571,-0.024055556,-0.053984127,-0.025396825,-0.425420635,-0.189539683,-0.024107143,-0.029269841,-0.182746032,-0.147940476,-0.123083333,-0.445436508,-0.136555556,-0.019670635,0.210884921,0.197634921,0.32622619,-0.067865079,0.37818254,0.098674603,-0.103206349,0.211210317,0.218412698,0.392186508,0.00422619,0.24884127,0.17868254,0.539388889,0.199920635,0.104297619,0.113686508,0.029420635,-0.040392857,0.078698413,-0.184654762
X607P2.15.1,607P,607,Ancestor,15,-0.148690476,0.068384921,0.076833333,0.06222619,-0.013376984,-0.084813492,-0.010003968,-0.15715873,0.151678571,0.057964286,0.150075397,-0.225900794,-0.14090873,-0.219543651,-0.024734127,0.159075397,-0.022984127,-0.052547619,0.007174603,-0.324638889,-0.164027778,-0.147174603,-0.239496032,0.111936508,-0.281702381,0.029313492,0.005674603,-0.054440476,-0.2285,-0.246123016,-0.057654762,-0.028797619,-0.012789683,-0.023337302,-0.149753968,-0.366916667,-0.184861111,-0.02647619,-0.119162698,-0.024055556,-0.006845238,-0.030373016,-0.175238095,-0.445984127,-0.322380952,-0.227269841,-0.137992063,-0.015730159,-0.372003968,0.02802381,-0.200444444,-0.01402381,-0.229444444,-0.117797619,-0.259789683,-0.049190476,-0.080337302,-0.202178571,0.019944444,-0.026984127,0.002603175,-0.390420635,-0.241539683,-0.002107143,-0.104269841,-0.188746032,-0.200940476,-0.179083333,-0.417436508,-0.119555556,0.000329365,0.081884921,0.171634921,0.33122619,-0.158865079,0.54418254,0.009674603,-0.213206349,0.126210317,0.164412698,0.321186508,0.05522619,0.14784127,0.15168254,0.582388889,0.112920635,0.042297619,0.107686508,-0.050579365,-0.079392857,-0.002301587,-0.255654762
X607P2.15.2,607P,607,Ancestor,15,-0.149690476,0.067384921,0.073833333,0.00222619,0.023623016,-0.135813492,-0.012003968,-0.16715873,0.125678571,0.048964286,0.187075397,-0.198900794,-0.14090873,-0.265543651,-0.022734127,0.180075397,0.034015873,-0.010547619,-0.005825397,-0.270638889,-0.154027778,-0.179174603,-0.095496032,0.044936508,-0.305702381,0.039313492,-0.008325397,-0.065440476,-0.2425,-0.173123016,-0.059654762,-0.046797619,-0.025789683,-0.032337302,-0.128753968,-0.366916667,-0.121861111,-0.02647619,-0.083162698,-0.004055556,-0.043845238,-0.041373016,-0.161238095,-0.414984127,-0.326380952,-0.235269841,-0.180992063,-0.024730159,-0.372003968,0.00502381,-0.198444444,-0.04202381,-0.162444444,-0.127797619,-0.235789683,-0.062190476,-0.049337302,-0.166178571,-0.003055556,-0.036984127,0.005603175,-0.396420635,-0.250539683,-0.013107143,-0.092269841,-0.173746032,-0.155940476,-0.143083333,-0.421436508,-0.096555556,-0.002670635,0.171884921,0.133634921,0.25622619,-0.210865079,0.44918254,-0.031325397,-0.177206349,0.099210317,0.125412698,0.272186508,0.02922619,0.08884127,0.18368254,0.498388889,0.076920635,-0.015702381,0.037686508,-0.095579365,-0.173392857,-0.059301587,-0.254654762
X607P2.15.3,607P,607,Ancestor,15,-0.128690476,0.079384921,0.065833333,0.00022619,-0.025376984,-0.060813492,-0.007003968,-0.15315873,0.107678571,0.074964286,0.137075397,-0.157900794,-0.11590873,-0.217543651,-0.016734127,0.113075397,0.085015873,0.005452381,0.021174603,-0.218638889,-0.157027778,-0.164174603,-0.174496032,0.083936508,-0.276702381,0.050313492,0.004674603,-0.044440476,-0.1215,-0.132123016,-0.057654762,-0.028797619,-0.011789683,-0.016337302,-0.188753968,-0.354916667,-0.095861111,-0.01247619,-0.067162698,-0.022055556,-0.101845238,-0.017373016,-0.052238095,-0.408984127,-0.330380952,-0.212269841,-0.189992063,-0.005730159,-0.371003968,0.01602381,-0.131444444,0.00297619,-0.177444444,-0.110797619,-0.162789683,-0.042190476,-0.068337302,-0.164178571,0.003944444,-0.015984127,0.018603175,-0.378420635,-0.355539683,0.002892857,-0.080269841,-0.134746032,-0.142940476,-0.098083333,-0.413436508,-0.117555556,0.020329365,0.182884921,0.043634921,0.19722619,-0.202865079,0.33718254,-0.009325397,-0.195206349,0.029210317,0.165412698,0.298186508,-0.03877381,0.10484127,0.08768254,0.357388889,0.070920635,-0.066702381,0.049686508,-0.081579365,-0.115392857,-0.028301587,-0.294654762
X607P2.37.1,607P,607,Ancestor,37,0.324309524,0.089384921,0.060833333,-0.03577381,-0.023376984,0.453186508,-0.037003968,-0.06315873,0.049678571,0.138964286,0.155075397,0.215099206,0.13209127,0.161456349,-0.007734127,0.105075397,0.116015873,0.191452381,0.025174603,0.343361111,0.074972222,-0.133174603,0.056503968,0.190936508,-0.093702381,0.135313492,-0.002325397,0.014559524,0.0685,0.241876984,0.130345238,-0.006797619,0.003210317,0.025662698,0.286246032,0.247083333,0.069138889,0.00452381,-0.085162698,0.019944444,0.045154762,0.006626984,0.256761905,0.305015873,-0.132380952,0.006730159,0.180007937,0.025269841,0.197996032,0.00802381,0.277555556,-0.01702381,0.115555556,-0.036797619,0.290210317,-0.023190476,0.159662698,-0.020178571,0.011944444,0.018015873,0.010603175,0.207579365,0.226460317,0.005892857,0.126730159,0.459253968,0.202059524,0.275916667,0.247563492,0.050444444,0.021329365,0.000884921,-0.047365079,-0.12477381,0.138134921,-0.20681746,0.221674603,0.040793651,-0.143789683,-0.040587302,-0.117813492,-0.29577381,0.01284127,-0.11931746,-0.010611111,-0.224079365,-0.298702381,-0.025313492,0.168420635,-0.359392857,0.114698413,0.186345238
X607P2.37.2,607P,607,Ancestor,37,0.333309524,0.023384921,0.061833333,-0.00977381,-0.007376984,0.422186508,-0.023003968,-0.03815873,0.032678571,0.123964286,0.203075397,0.194099206,0.09809127,0.144456349,-0.033734127,0.083075397,0.059015873,0.146452381,0.004174603,0.228361111,0.181972222,-0.099174603,0.056503968,0.152936508,-0.081702381,0.111313492,-0.015325397,-0.000440476,0.0385,0.170876984,0.081345238,-0.021797619,-0.027789683,0.018662698,0.228246032,0.194083333,0.029138889,-0.01447619,-0.093162698,0.007944444,0.017154762,-0.005373016,0.169761905,0.171015873,-0.150380952,-0.027269841,0.161007937,-0.026730159,0.215996032,-0.01097619,0.186555556,-0.01802381,0.091555556,-0.076797619,0.265210317,-0.054190476,0.089662698,-0.084178571,-0.008055556,-0.022984127,0.001603175,0.186579365,0.163460317,-0.002107143,0.077730159,0.405253968,0.109059524,0.151916667,0.195563492,-0.012555556,-0.008670635,-0.178115079,-0.115365079,-0.04977381,0.154134921,0.12018254,0.235674603,0.123793651,-0.021789683,-0.336587302,-0.018813492,-0.15977381,0.06784127,-0.08231746,-0.121611111,-0.129079365,-0.286702381,-0.026313492,0.173420635,-0.238392857,0.195698413,0.157345238
X607P2.37.3,607P,607,Ancestor,37,0.349309524,0.029384921,0.092833333,0.00722619,0.025623016,0.438186508,0.005996032,-0.01415873,0.032678571,0.101964286,0.052075397,0.207099206,0.07509127,0.180456349,-0.002734127,0.043075397,0.037015873,0.115452381,0.004174603,0.237361111,0.250972222,-0.050174603,0.051503968,0.136936508,-0.055702381,0.087313492,-0.006325397,0.017559524,0.0135,0.138876984,0.114345238,0.021202381,-0.022789683,0.020662698,0.174246032,0.239083333,-0.021861111,0.00452381,-0.050162698,0.029944444,-0.027845238,0.005626984,0.097761905,0.104015873,-0.145380952,0.036730159,0.211007937,-0.014730159,0.211996032,-0.00097619,0.158555556,0.01297619,0.036555556,-0.032797619,0.257210317,-0.016190476,0.038662698,-0.023178571,0.008944444,0.004015873,0.009603175,0.182579365,0.201460317,0.021892857,0.053730159,0.152253968,0.075059524,0.152916667,0.187563492,0.051444444,0.010329365,-0.115115079,0.196634921,-0.03577381,0.108134921,-0.04881746,0.189674603,0.149793651,0.123210317,-0.162587302,-0.072813492,0.04522619,0.11084127,0.09168254,-0.061611111,-0.017079365,-0.097702381,-0.096313492,0.155420635,-0.153392857,0.108698413,0.158345238
X607P3.37.1,607P,607,Ancestor,37,0.307309524,0.043384921,0.078833333,0.00322619,-0.051376984,0.493186508,-0.037003968,-0.06915873,0.040678571,0.114964286,0.068075397,0.245099206,0.16409127,0.186456349,-0.009734127,0.069075397,0.074015873,0.187452381,0.008174603,0.329361111,0.029972222,-0.080174603,0.142503968,0.174936508,-0.050702381,0.111313492,-0.008325397,0.011559524,0.0795,0.202876984,0.001345238,0.007202381,-0.005789683,0.013662698,0.270246032,0.198083333,0.111138889,-0.02947619,0.003837302,0.049944444,0.038154762,0.015626984,0.203761905,0.231015873,-0.210380952,-0.152269841,0.037007937,-0.002730159,0.226996032,0.01302381,0.247555556,-0.02502381,0.178555556,-0.107797619,0.330210317,-0.008190476,0.044662698,-0.042178571,0.002944444,-0.003984127,0.005603175,0.032579365,0.164460317,0.011892857,0.116730159,0.334253968,0.160059524,0.263916667,0.111563492,-0.067555556,0.016329365,-0.179115079,0.137634921,0.05022619,0.142134921,0.01018254,0.374674603,0.298793651,-0.014789683,0.010412698,0.528186508,-0.05777381,0.06784127,0.06168254,-0.049611111,0.054920635,0.029297619,0.161686508,0.310420635,-0.079392857,0.299698413,0.296345238
